OmiVoxel (v0.1.0) (400x600px) (06/02/2020 18:03:47)
$Texturas (nombre,r1,g1,b1,a1,r2,g2,b2,a2,r3,g3,b3,a3)$
sombra,50,50,50,40,50,50,50,40,50,50,50,40
rojo,242,82,53,255,240,49,15,255,191,39,13,255
naranja,251,170,89,255,250,143,37,255,238,122,6,255
amarillo,240,237,94,255,236,232,53,255,211,207,20,255
verde,112,189,100,255,88,177,75,255,74,149,64,255
limon,82,239,78,255,33,234,28,255,22,199,18,255
negro,62,62,62,255,74,74,74,255,40,40,40,255
gris,126,126,126,255,110,110,110,255,148,148,148,255
blanco,211,211,211,255,229,229,229,255,188,188,188,255
cafe,116,90,63,255,89,70,49,255,136,106,74,255
caqui,208,185,130,255,193,163,89,255,170,138,64,255
azul,31,100,203,255,62,128,225,255,104,155,232,255
marino,53,53,236,255,22,22,233,255,90,90,239,255
agua,53,217,230,255,91,237,244,255,14,200,209,255
morado,202,43,198,255,174,36,171,255,216,65,211,255
rosa,248,152,192,255,245,126,177,255,243,90,155,255
halloween,243,136,39,255,58,33,33,255,67,46,24,255
navidad,62,168,67,255,168,220,58,255,239,65,39,255
mimo,191,191,191,255,168,168,168,255,51,51,51,255
payaso,245,114,16,255,43,91,219,255,50,238,23,255
leopardo,236,231,26,255,208,204,17,255,142,69,45,255
reptil,57,120,54,255,96,142,32,255,163,122,67,255
saurio,154,65,207,255,103,41,231,255,249,23,243,255
vidrio,153,251,245,100,190,252,249,100,115,249,242,100
malla,130,126,165,255,0,0,0,0,0,0,0,0
reja,108,85,79,255,121,114,85,255,0,0,0,0
hojas,77,141,61,255,153,199,107,100,131,248,114,50
$Voxels (x,y,z,r,g,b,a,grupo)$
49.99999999999999,5.551115123125782e-15,0.0,136,106,74,255,0
49.11145611572279,5.895103488218074,0.0,136,106,74,255,0
46.52477548631985,11.266401161272597,0.0,89,70,49,255,0
42.46979603717467,15.636629649360549,0.0,136,106,74,255,0
37.30682048732787,18.61747497288417,0.0,116,90,63,255,0
31.494601871728403,19.944075943623712,0.0,89,70,49,255,0
25.549581320873738,19.498558243636445,0.0,89,70,49,255,0
20.000000000000053,17.32050807568875,0.0,116,90,63,255,0
15.338962563403447,13.60345475541843,0.0,89,70,49,255,0
11.980622641951571,8.677674782351211,0.0,89,70,49,255,0
10.223383475497423,2.9808453235235057,0.0,136,106,74,255,0
10.223383475497442,-2.980845323523448,0.0,89,70,49,255,0
11.980622641951616,-8.677674782351152,0.0,116,90,63,255,0
15.338962563403442,-13.60345475541843,0.0,136,106,74,255,0
20.00000000000006,-17.320508075688718,0.0,116,90,63,255,0
25.54958132087394,-19.498558243636115,0.0,89,70,49,255,0
31.49460187172855,-19.94407594362352,0.0,116,90,63,255,0
37.30682048732791,-18.617474972884132,0.0,89,70,49,255,0
42.46979603717474,-15.6366296493605,0.0,116,90,63,255,0
46.524775486319875,-11.266401161272418,0.0,136,106,74,255,0
49.111456115722795,-5.895103488218075,0.0,136,106,74,255,0
49.99999999999999,5.551115123125782e-15,5.0,116,90,63,255,0
49.11145611572279,5.895103488218074,5.0,116,90,63,255,0
46.52477548631985,11.266401161272597,5.0,116,90,63,255,0
42.46979603717467,15.636629649360549,5.0,116,90,63,255,0
37.30682048732787,18.61747497288417,5.0,89,70,49,255,0
31.494601871728403,19.944075943623712,5.0,89,70,49,255,0
25.549581320873738,19.498558243636445,5.0,89,70,49,255,0
20.000000000000053,17.32050807568875,5.0,116,90,63,255,0
15.338962563403447,13.60345475541843,5.0,89,70,49,255,0
11.980622641951571,8.677674782351211,5.0,116,90,63,255,0
10.223383475497423,2.9808453235235057,5.0,89,70,49,255,0
10.223383475497442,-2.980845323523448,5.0,136,106,74,255,0
11.980622641951616,-8.677674782351152,5.0,116,90,63,255,0
15.338962563403442,-13.60345475541843,5.0,89,70,49,255,0
20.00000000000006,-17.320508075688718,5.0,136,106,74,255,0
25.54958132087394,-19.498558243636115,5.0,136,106,74,255,0
31.49460187172855,-19.94407594362352,5.0,136,106,74,255,0
37.30682048732791,-18.617474972884132,5.0,136,106,74,255,0
42.46979603717474,-15.6366296493605,5.0,136,106,74,255,0
46.524775486319875,-11.266401161272418,5.0,89,70,49,255,0
49.111456115722795,-5.895103488218075,5.0,116,90,63,255,0
49.99999999999999,5.551115123125782e-15,10.0,136,106,74,255,0
49.11145611572279,5.895103488218074,10.0,136,106,74,255,0
46.52477548631985,11.266401161272597,10.0,116,90,63,255,0
42.46979603717467,15.636629649360549,10.0,89,70,49,255,0
37.30682048732787,18.61747497288417,10.0,136,106,74,255,0
31.494601871728403,19.944075943623712,10.0,116,90,63,255,0
25.549581320873738,19.498558243636445,10.0,89,70,49,255,0
20.000000000000053,17.32050807568875,10.0,116,90,63,255,0
15.338962563403447,13.60345475541843,10.0,136,106,74,255,0
11.980622641951571,8.677674782351211,10.0,136,106,74,255,0
10.223383475497423,2.9808453235235057,10.0,116,90,63,255,0
10.223383475497442,-2.980845323523448,10.0,136,106,74,255,0
11.980622641951616,-8.677674782351152,10.0,116,90,63,255,0
15.338962563403442,-13.60345475541843,10.0,89,70,49,255,0
20.00000000000006,-17.320508075688718,10.0,136,106,74,255,0
25.54958132087394,-19.498558243636115,10.0,136,106,74,255,0
31.49460187172855,-19.94407594362352,10.0,89,70,49,255,0
37.30682048732791,-18.617474972884132,10.0,89,70,49,255,0
42.46979603717474,-15.6366296493605,10.0,89,70,49,255,0
46.524775486319875,-11.266401161272418,10.0,89,70,49,255,0
49.111456115722795,-5.895103488218075,10.0,136,106,74,255,0
49.99999999999999,5.551115123125782e-15,15.0,116,90,63,255,0
49.11145611572279,5.895103488218074,15.0,116,90,63,255,0
46.52477548631985,11.266401161272597,15.0,89,70,49,255,0
42.46979603717467,15.636629649360549,15.0,136,106,74,255,0
37.30682048732787,18.61747497288417,15.0,136,106,74,255,0
31.494601871728403,19.944075943623712,15.0,136,106,74,255,0
25.549581320873738,19.498558243636445,15.0,116,90,63,255,0
20.000000000000053,17.32050807568875,15.0,116,90,63,255,0
15.338962563403447,13.60345475541843,15.0,136,106,74,255,0
11.980622641951571,8.677674782351211,15.0,116,90,63,255,0
10.223383475497423,2.9808453235235057,15.0,116,90,63,255,0
10.223383475497442,-2.980845323523448,15.0,116,90,63,255,0
11.980622641951616,-8.677674782351152,15.0,116,90,63,255,0
15.338962563403442,-13.60345475541843,15.0,136,106,74,255,0
20.00000000000006,-17.320508075688718,15.0,89,70,49,255,0
25.54958132087394,-19.498558243636115,15.0,136,106,74,255,0
31.49460187172855,-19.94407594362352,15.0,116,90,63,255,0
37.30682048732791,-18.617474972884132,15.0,136,106,74,255,0
42.46979603717474,-15.6366296493605,15.0,116,90,63,255,0
46.524775486319875,-11.266401161272418,15.0,89,70,49,255,0
49.111456115722795,-5.895103488218075,15.0,136,106,74,255,0
49.99999999999999,5.551115123125782e-15,20.0,136,106,74,255,0
49.11145611572279,5.895103488218074,20.0,89,70,49,255,0
46.52477548631985,11.266401161272597,20.0,136,106,74,255,0
42.46979603717467,15.636629649360549,20.0,116,90,63,255,0
37.30682048732787,18.61747497288417,20.0,136,106,74,255,0
31.494601871728403,19.944075943623712,20.0,89,70,49,255,0
25.549581320873738,19.498558243636445,20.0,116,90,63,255,0
20.000000000000053,17.32050807568875,20.0,89,70,49,255,0
15.338962563403447,13.60345475541843,20.0,89,70,49,255,0
11.980622641951571,8.677674782351211,20.0,89,70,49,255,0
10.223383475497423,2.9808453235235057,20.0,89,70,49,255,0
10.223383475497442,-2.980845323523448,20.0,89,70,49,255,0
11.980622641951616,-8.677674782351152,20.0,136,106,74,255,0
15.338962563403442,-13.60345475541843,20.0,136,106,74,255,0
20.00000000000006,-17.320508075688718,20.0,89,70,49,255,0
25.54958132087394,-19.498558243636115,20.0,116,90,63,255,0
31.49460187172855,-19.94407594362352,20.0,116,90,63,255,0
37.30682048732791,-18.617474972884132,20.0,116,90,63,255,0
42.46979603717474,-15.6366296493605,20.0,116,90,63,255,0
46.524775486319875,-11.266401161272418,20.0,116,90,63,255,0
49.111456115722795,-5.895103488218075,20.0,89,70,49,255,0
49.99999999999999,5.551115123125782e-15,25.0,89,70,49,255,0
49.11145611572279,5.895103488218074,25.0,116,90,63,255,0
46.52477548631985,11.266401161272597,25.0,116,90,63,255,0
42.46979603717467,15.636629649360549,25.0,116,90,63,255,0
37.30682048732787,18.61747497288417,25.0,136,106,74,255,0
31.494601871728403,19.944075943623712,25.0,89,70,49,255,0
25.549581320873738,19.498558243636445,25.0,136,106,74,255,0
20.000000000000053,17.32050807568875,25.0,116,90,63,255,0
15.338962563403447,13.60345475541843,25.0,136,106,74,255,0
11.980622641951571,8.677674782351211,25.0,116,90,63,255,0
10.223383475497423,2.9808453235235057,25.0,116,90,63,255,0
10.223383475497442,-2.980845323523448,25.0,136,106,74,255,0
11.980622641951616,-8.677674782351152,25.0,116,90,63,255,0
15.338962563403442,-13.60345475541843,25.0,116,90,63,255,0
20.00000000000006,-17.320508075688718,25.0,89,70,49,255,0
25.54958132087394,-19.498558243636115,25.0,136,106,74,255,0
31.49460187172855,-19.94407594362352,25.0,89,70,49,255,0
37.30682048732791,-18.617474972884132,25.0,136,106,74,255,0
42.46979603717474,-15.6366296493605,25.0,136,106,74,255,0
46.524775486319875,-11.266401161272418,25.0,89,70,49,255,0
49.111456115722795,-5.895103488218075,25.0,116,90,63,255,0
49.99999999999999,5.551115123125782e-15,31.0,208,185,130,255,1
49.11145611572279,5.895103488218074,31.0,208,185,130,255,1
46.52477548631985,11.266401161272597,31.0,170,138,64,255,1
42.46979603717467,15.636629649360549,31.0,170,138,64,255,1
37.30682048732787,18.61747497288417,31.0,208,185,130,255,1
31.494601871728403,19.944075943623712,31.0,208,185,130,255,1
25.549581320873738,19.498558243636445,31.0,170,138,64,255,1
20.000000000000053,17.32050807568875,31.0,170,138,64,255,1
15.338962563403447,13.60345475541843,31.0,193,163,89,255,1
11.980622641951571,8.677674782351211,31.0,193,163,89,255,1
10.223383475497423,2.9808453235235057,31.0,193,163,89,255,1
10.223383475497442,-2.980845323523448,31.0,208,185,130,255,1
11.980622641951616,-8.677674782351152,31.0,193,163,89,255,1
